,Player,Nation,Squad,Age,90s,G,PK,PKatt,xG,npxG,npxG/sh,G-xG,npG-npxG,npG-npxG/90
0,Julián Álvarez,ARG,Manchester City,23,29.4,11,2,2,13.0,11.5,0.12,-2.0,-2.5,-0.08503401360544217
1,Pierre-Emerick Aubameyang,GAB,Marseille,34,29.1,17,4,4,20.5,17.3,0.16,-3.5,-4.3,-0.14776632302405496
2,Maximilian Beier,GER,Hoffenheim,20,26.9,16,0,0,11.4,11.4,0.14,4.6,4.6,0.17100371747211895
3,Jude Bellingham,ENG,Real Madrid,20,25.7,19,1,1,11.1,10.3,0.17,7.9,7.7,0.29961089494163423
4,Wissam Ben Yedder,FRA,Monaco,32,25.7,16,1,1,12.4,11.6,0.18,3.6,3.4,0.13229571984435798
5,Victor Boniface,NGA,Leverkusen,22,17.2,14,4,4,15.4,12.3,0.16,-1.4,-2.3,-0.13372093023255813
6,Jarrod Bowen,ENG,West Ham,26,33.5,16,0,0,11.6,11.6,0.14,4.4,4.4,0.13134328358208958
7,Ante Budimir,CRO,Osasuna,32,27.1,17,3,4,14.2,11.1,0.15,2.8,2.9,0.1070110701107011
8,Hakan Çalhanoğlu,TUR,Inter,29,28.4,13,10,10,10.1,2.3,0.04,2.9,0.7,0.02464788732394366
9,Thijs Dallinga,NED,Toulouse,22,27.9,14,1,3,14.1,11.8,0.15,-0.1,1.2,0.043010752688172046
10,Jonathan David,CAN,Lille,23,29.2,19,2,3,17.5,15.0,0.2,1.5,2.0,0.0684931506849315
11,Ermedin Demirović,BIH,Augsburg,25,31.9,15,3,4,13.5,10.3,0.13,1.5,1.7,0.05329153605015674
12,Artem Dovbyk,UKR,Girona,26,28.7,24,7,8,24.2,17.9,0.23,-0.2,-0.9,-0.0313588850174216
13,Marvin Ducksch,GER,Werder Bremen,29,30.0,12,5,6,12.8,7.9,0.11,-0.8,-0.9,-0.030000000000000002
14,Hugo Duro,ESP,Valencia,23,33.1,13,0,0,11.5,11.5,0.17,1.5,1.5,0.045317220543806644
15,Paulo Dybala,ARG,Roma,29,21.8,13,7,7,10.6,5.1,0.1,2.4,0.9,0.04128440366972477
16,Youssef En-Nesyri,MAR,Sevilla,26,28.6,16,1,1,10.8,10.0,0.14,5.2,5.0,0.17482517482517482
17,Phil Foden,ENG,Manchester City,23,31.7,19,0,0,10.3,10.3,0.1,8.7,8.7,0.27444794952681384
18,Niclas Füllkrug,GER,Dortmund,30,24.6,12,3,3,12.4,10.0,0.2,-0.4,-1.0,-0.04065040650406504
19,Olivier Giroud,FRA,Milan,36,26.3,15,4,5,14.2,10.2,0.14,0.8,0.8,0.030418250950570342
20,Nicolás González,ARG,Fiorentina,25,21.3,12,1,3,10.4,8.0,0.1,1.6,3.0,0.14084507042253522
21,Anthony Gordon,ENG,Newcastle Utd,22,32.1,11,1,1,10.2,9.4,0.12,0.8,0.6,0.018691588785046728
22,Antoine Griezmann,FRA,Atlético Madrid,32,29.4,16,4,4,12.3,9.3,0.12,3.7,2.7,0.09183673469387756
23,Serhou Guirassy,GUI,Stuttgart,27,24.5,28,4,4,20.8,17.6,0.2,7.2,6.4,0.2612244897959184
24,Gorka Guruzeta,ESP,Athletic Club,26,24.6,14,0,1,11.6,10.8,0.17,2.4,3.2,0.13008130081300812
25,Erling Haaland,NOR,Manchester City,23,28.4,27,7,8,29.2,22.9,0.2,-2.2,-2.9,-0.10211267605633803
26,Kai Havertz,GER,Arsenal,24,29.3,13,1,1,12.3,11.6,0.17,0.7,0.4,0.013651877133105802
27,Son Heung-min,KOR,Tottenham,31,32.6,17,2,2,12.0,10.4,0.13,5.0,4.6,0.1411042944785276
28,Alexander Isak,SWE,Newcastle Utd,23,25.1,21,5,6,20.3,15.6,0.22,0.7,0.4,0.01593625498007968
29,Nicolas Jackson,SEN,Chelsea,22,31.1,14,0,0,18.6,18.6,0.23,-4.6,-4.6,-0.14790996784565916
30,Vinicius Júnior,BRA,Real Madrid,23,20.7,15,1,1,13.1,12.3,0.16,1.9,1.7,0.0821256038647343
31,Harry Kane,ENG,Bayern Munich,30,31.5,36,5,5,30.6,26.7,0.19,5.4,4.3,0.1365079365079365
32,Tim Kleindienst,GER,Heidenheim,27,31.9,12,2,2,13.9,12.3,0.15,-1.9,-2.3,-0.07210031347962383
33,Andrej Kramarić,CRO,Hoffenheim,32,24.4,15,5,5,11.1,7.1,0.11,3.9,2.9,0.11885245901639345
34,Khvicha Kvaratskhelia,GEO,Napoli,22,30.4,11,0,0,11.1,11.1,0.09,-0.1,-0.1,-0.0032894736842105266
35,Alexandre Lacazette,FRA,Lyon,32,25.5,19,2,2,11.4,9.8,0.17,7.6,7.2,0.2823529411764706
36,Robert Lewandowski,POL,Barcelona,34,30.6,19,4,4,18.1,15.0,0.17,0.9,0.0,0.0
37,Omar Marmoush,EGY,Eint Frankfurt,24,25.6,12,2,2,11.6,10.1,0.13,0.4,-0.1,-0.00390625
38,Lautaro Martínez,ARG,Inter,25,29.5,24,2,3,17.6,15.3,0.15,6.4,6.7,0.2271186440677966
39,Jean-Philippe Mateta,FRA,Crystal Palace,26,25.4,16,2,2,10.9,9.4,0.21,5.1,4.6,0.1811023622047244
40,Borja Mayoral,ESP,Getafe,26,23.9,15,4,4,11.9,8.7,0.2,3.1,2.3,0.09623430962343096
41,Kylian Mbappé,FRA,Paris S-G,24,24.0,27,6,8,21.0,14.5,0.13,6.0,6.5,0.2708333333333333
42,Terem Moffi,NGA,Nice,24,21.7,11,3,3,10.7,8.3,0.18,0.3,-0.3,-0.013824884792626727
43,Álvaro Morata,ESP,Atlético Madrid,30,21.2,15,0,1,13.8,12.9,0.2,1.2,2.1,0.09905660377358491
44,Carlton Morris,ENG,Luton Town,27,31.8,11,5,5,11.4,7.5,0.11,-0.4,-1.5,-0.04716981132075471
45,Darwin Núñez,URU,Liverpool,24,22.7,11,0,1,16.3,15.5,0.15,-5.3,-4.5,-0.19823788546255508
46,Loïs Openda,BEL,RB Leipzig,23,30.0,24,2,3,22.1,19.7,0.17,1.9,2.3,0.07666666666666666
47,Victor Osimhen,NGA,Napoli,24,22.0,15,3,5,15.4,11.4,0.13,-0.4,0.6,0.02727272727272727
48,Cole Palmer,ENG,Chelsea,21,29.0,22,9,9,18.2,11.1,0.11,3.8,1.9,0.06551724137931034
49,Gonçalo Ramos,POR,Paris S-G,22,15.8,11,1,1,10.9,10.2,0.19,0.1,-0.2,-0.012658227848101266
50,Bukayo Saka,ENG,Arsenal,21,32.4,16,6,6,15.5,10.8,0.11,0.5,-0.8,-0.02469135802469136
